Tipo de resolución|Año de resolución|Referencia|Fecha de resolución|Tipología|Problema jurídico|Ratio decidendi|Decisión|Deber ético (Art. 5 LEG)|Prohibición ética (Art. 6 LEG)
Definitiva|2016|116-A-2013|24/02/2016|Uso de bienes y servicios públicos|¿El uso discrecional de los vehículos habilita su uso para fines personales?|"En el presente caso, con los medios probatorios practicados se ha comprobado que efectivamente los vehículos números de equipo LV05-2967 placas P-129-312 y LV05-3138 placas P-160-141 son propiedad de la Policía Nacional Civil, asignados a la Sección de Investigaciones de la Delegación de Usulután, el primero a partir del veintitrés de diciembre de dos mil once y el segundo del diecisiete de septiembre de dos mil trece, ambas unidades fueron recibidas por el Jefe de Delegación de ese entonces, Inspector Jefe Jesús Molina Aguiluz (fs. 6, 15, 16, 49, 51, 94 y 96).
Asimismo, se ha acreditado que a partir del veintinueve de abril de dos mil once, el señor Raúl Armando Valiente Vindel, Inspector Jefe de la Policía Nacional Civil, fue trasladado a la Delegación Policial de Usulután, en calidad de Jefe de Operaciones, y en el período comprendido del veintidós de julio al veintidós de octubre de dos mil trece, fue nombrado como Jefe en funciones de dicha Delegación, según consta en los acuerdos PNC/DG/N.° A-0556-07-2013 y PNC/DG/N.° A-0745-09-2013 (fs. 5, 7 al 12).
Además, según se establece en el Instructivo aprobado por la corporación policial para regular la asignación, el uso y mantenimiento preventivo y correctivo de vehículos institucionales, en la norma N.° 15, las jefaturas de cada dependencia policial serán responsables que los vehículos institucionales sean utilizados únicamente en misiones oficiales y no para fines particulares no relacionados directamente con el quehacer institucional (f.20).
El señor Valiente Vindel al ejercer su derecho de defensa expresó que según memorándum N.° 9310 del diecisiete de diciembre de dos mil diez, se autorizó el jefe del Departamento de Operaciones de la Delegación de Usulután el uso del equipo policial LV 01-2574, para trasladarse desde el lugar de trabajo hacia la residencia, y no los vehículos señalados en el aviso de mérito. Sin embargo, afirmó que dicho vehículo fue trasladado al Departamento de Investigaciones de esa Delegación, y pese a que había una autorización de la autoridad superior para hacer uso de este, él nunca lo utilizó, por el contrario fue destinado para funciones laborales y propias del departamento de Investigaciones (fs. 30 al 32).
Ahora bien, pese a las diligencias de investigación desarrolladas por el Tribunal, y según consta en el informe del señor Juan Antonio Sorto Ayala, Jefe del Departamento de Investigaciones de la Delegación de Usulután de la PNC, no se evidencia el uso de los vehículos LV05-2967 placas P-129-312 y LV05-3138 placas P-160-141 por parte del señor Valiente Vindel para fines y actividades distintas a las institucionales (f. 374). 
En efecto, según la certificación del Libro de Novedades que llevó el Departamento de Investigaciones de la Delegación de la PNC de Usulután en el período de enero a diciembre de dos mil trece, no consta en los registros de entrada y salida de los vehículos en cuestión, que el señor Raúl Armando Valiente Vindel, los haya utilizado para fines privados (fs. 99 al 313). 
Por ende, no puede afirmarse que en el período antes señalado, el señor Valiente Vindel haya utilizado los vehículos LV05-2967 placas P-129-312 y LV05-3138 placas P-160-141 para realizar actividades particulares. De hecho, ningún elemento probatorio demostró que esa situación se haya perfilado.
"|No sanciona|a|
Definitiva|2016|137-D-2013|24/02/2016|Presupuesto público|¿Es una infracción ética desempeñar labores en dos oficinas públicas?|"Con la prueba vertida en el presente procedimiento, ha quedado demostrado fehacientemente que el señor José Gabriel Durán López labora en la Fiscalía General de la República desde el año dos mil dos, con un horario de las ocho a las dieciséis horas.
Durante el período comprendido entre mayo de dos mil doce y junio de dos mil trece, se desempeñó como Jefe de la Unidad del Menor y la Mujer, y posteriormente como Jefe de la Unidad de Solución Temprana en la Oficina Fiscal de La Libertad; y a partir de julio de dos mil trece fue transferido a la Oficina Fiscal de Cojutepeque para ejercer el cargo de Jefe de la Unidad de Recepción de Denuncias (fs. 8 y 9).
Ahora bien, consta que desde mayo de dos mil doce, la municipalidad de Tamanique contrató al señor Durán López como Asesor Legal externo, y en los respectivos contratos se acordó que éste se presentaría dos veces por semana martes y miércoles con un horario de las dieciséis a las dieciocho horas o en su defecto los fines de semana (fs. 74 al 88). 
No obstante lo anterior, los señores José Abel Herrera Ibarra y Guillermo Alex Hernández Díaz, en su orden Tesorero y Contador en la municipalidad de Tamanique, aseguraron que el señor José Gabriel Durán López llegaba de dos a cuatro veces al mes a la referida Alcaldía, que lo observaron en reuniones del Concejo y que recibía su pago dentro del horario laboral, es decir entre las ocho y las dieciséis horas.
De hecho, consta que los cheques con los que se cancelaron los honorarios del señor Durán López fueron entregados a éste por el referido Tesorero en días laborales: jueves treinta y uno de mayo, martes veintiséis de junio, martes treinta y uno de julio, martes veintiocho de agosto, martes veinticinco de septiembre, miércoles veinticuatro de octubre, viernes veintitrés de noviembre, y viernes veintiuno de diciembre, todas las fechas del año dos mil doce; martes veintinueve de enero, jueves veintiocho de febrero, viernes veintidós de marzo, viernes veintiséis de abril, martes veintiocho de mayo, martes veintiocho de junio, jueves veinticinco de julio, viernes veintitrés de agosto, viernes veintisiete de septiembre, viernes veinticinco de octubre, jueves veintiocho de noviembre, y viernes veinte de diciembre, todas las fechas del año dos mil trece; viernes veinticuatro de enero, viernes veintiocho de febrero, viernes veintiocho de marzo, lunes veintiocho de abril, lunes veintiséis de mayo, y viernes veintisiete de junio, todos del año dos mil catorce (fs. 17 al 68).
Lo anterior robustece las declaraciones de los señores José Abel Herrera Ibarra y Guillermo Alex Hernández Díaz, Tesorero y Contador de la municipalidad de Tamanique respectivamente, ya que ambos aseveraron que el investigado recibió su pago en el horario comprendido entre las ocho y las dieciséis horas; y aunque el primero atestiguó que algunas veces le entregaba cheques a la Secretaria Verónica Elizabeth Palacios Castellanos, no dijo en ningún momento que en todas las fechas antes relacionadas sucedía esto último, sino que era una situación de carácter eventual.
En definitiva, se demuestra que en diversas ocasiones el señor Durán López se personó a la Alcaldía Municipal de Tamanique en el horario en que debía estar laborando en la Fiscalía General de la República, y se acreditó que en ésta última no tramitó en esas fechas los permisos correspondientes (fs. 152 y 153)
Si bien el señor José Ovidio Rivera Méndez, Síndico de la municipalidad de Tamanique, mencionó que el investigado se personaba en dicha Alcaldía a las diecisiete horas, y que cuando el ex Alcalde le requirió sus servicios dentro de la jornada ordinaria, éste delegó a la señora Cecilia Arely Alvarado Portillo para que ella recibiera las instrucciones correspondientes, dicha situación sólo ocurrió en un número reducido de veces, pues la misma señora Alvarado Portillo declaró que el señor Durán López le pidió en dos ocasiones que fuera a la municipalidad de Tamanique en horario laboral a traer documentación.
En ese sentido, la declaración del testigo Rivera Méndez no es suficiente para desacreditar los hechos atribuidos al denunciado, pues sólo revela que en algunas oportunidades lo vio en la Alcaldía después de la jornada laboral, pero no desvanece que en otras ocasiones aquél se haya presentado en horas de trabajo.
De esta manera, y aplicando la sana crítica como sistema de valoración de la prueba, quedó demostrado que el señor José Gabriel Durán López, en vez de realizar tareas propias de su cargo en la Fiscalía General de la República, se ausentaba de esta institución para personarse a la municipalidad de Tamanique a prestar sus servicios de asesoría. 
Adicionalmente, desde julio de dos mil trece que el denunciado fue transferido a la Oficina Fiscal de Cojutepeque, significaba que tenía que recorrer una distancia de alrededor de setenta y cinco kilómetros, es decir, trasladarse en un lapso de una hora cuarenta y cinco minutos aproximadamente hacia la localidad de Tamanique, por lo cual era imposible que cumpliera a cabalidad con el horario de trabajo establecido en cada institución.
En ese sentido, de los indicios derivados de la prueba producida se concluye que en el período investigado el señor José Gabriel Durán López laboraba en la FGR y, a su vez, prestaba servicios de asesoría en la Alcaldía Municipal de Tamanique en el transcurso de la jornada ordinaria de trabajo que debía cumplir en aquélla. 
En el presente caso, conviene señalar que lo éticamente reprochable es ausentarse de su empleo público y desatender sus funciones en la FGR para realizar una actividad eminentemente privada, propia del ejercicio profesional y remunerada, como Asesor en el municipio de Tamanique.  
"|Sanciona||c, d
Definitiva|2016|16-A-2014|24/02/2016|Imparcialidad|¿Puede un servidor tener inicidencia en la contratación de un familiar cuando la decisión depende de un órgano colegiado?|"Al respecto, cabe mencionar que la excusa es el acto en virtud del cual el servidor público se abstiene de conocer, intervenir o influir en determinado asunto, vinculado con un acto o procedimiento administrativo, por considerar él mismo que existe un impedimento razonable y comprobable que perturbará su imparcialidad al momento de tomar una decisión sobre dicho asunto –como el interés personal en el asunto o la relación de parentesco con los interesados–, en detrimento del interés general.
Quiere decir que la excusa es la manifestación formal de la abstención del servidor público de desempeñar las funciones propias del puesto de trabajo que ocupa en determinada organización administrativa, o bien, las que le han sido especialmente conferidas por el titular de dicha organización para cierto fin, por estimar que su interés particular determinará la voluntad de la administración en los actos en los que intervenga, orientándola a satisfacer intereses ajenos a los institucionales.
Dicha excusa es entonces un acto del servidor público en cumplimiento de una obligación de no hacer, de no intervenir en el procedimiento administrativo, pero cabe destacar que la intervención que se proscribe es aquella que lleva imbíbita la aptitud de influir en el contenido de la decisión final que se adopte, incluyéndose entonces dentro de la prohibición, la intervención mediata.
Ahora bien, dado que la excusa es un acto formal mediante el cual el servidor público manifiesta su abstención de intervenir en determinado procedimiento administrativo por considerar que existe en su persona un impedimento, ésta debe expresarse por escrito para dejar constancia de su invocación y de las causas en las cuales se funda, las cuales deben ser valoradas por el superior jerárquico del servidor público que formula la abstención.
No obstante la LEG no regula de forma expresa la exigencia de una excusa presentada por escrito, el artículo 53 del Código Procesal Civil y Mercantil, norma de aplicación supletoria, establece que los motivos de abstención de los jueces y magistrados deben comunicarse al tribunal jerárquicamente superior mediante escrito motivado, para que éste declare si es procedente o no que se abstenga de conocer del asunto.
Por ello, dado que la excusa es la manifestación expresa del ejercicio de un deber de abstención de un servidor público en determinado asunto, por la existencia de una circunstancia que afecte su imparcialidad, ésta debe en todo caso realizarse por escrito.
De esta forma, el mecanismo idóneo para no contravenir el deber ético contenido en el artículo 5 letra c) de la LEG es la excusa, formalizada por escrito, herramienta mediante la cual el servidor público, por iniciativa propia, se separa de la tramitación de un asunto en el que tiene interés, evitando intervenir en el mismo, con el fin de garantizar la imparcialidad de sus actuaciones.
En efecto, se pretende que el servidor público no se encuentre en situación de representar intereses distintos a los del Estado y que desempeñe de forma imparcial su cargo; por cuanto todo servidor público debe evitar las situaciones en las que se pueda beneficiar personalmente o favorecer a cualquiera de las demás personas reguladas por la norma apuntada.
Por ende, se espera que todo servidor público actúe conforme a los principios éticos de supremacía del interés público, imparcialidad y lealtad contenidos en el artículo 4 letras a), d), e i) de la Ley; para lo cual están llamados a evitar relaciones laborales, contractuales, convencionales o de cualquier otra naturaleza que generen para ellos responsabilidades de carácter privado que los pongan en situación de anteponer su interés personal o el de sus parientes sobre el interés público y las finalidades de la institución pública en la que se desempeña.
IV. Consideraciones aplicables al caso concreto
Con la prueba vertida en el presente procedimiento ha quedado demostrado fehacientemente que a partir del dos de mayo de dos mil doce la señora Deysi Beatriz Rodriguez Godínez fue contratada en la plaza de Telefonista 911, y se encuentra destacada en la División de Emergencias 911 de la Policía Nacional Civil.
Dicha contratación fue precedida de la postulación efectuada por una comisión que nombró el señor Francisco Ramón Salinas Rivera, en ese entonces, Director General de la corporación policial, a efecto de continuar con la selección de telefonistas para el Sistema de Emergencias 911, según consta en el informe ejecutivo del proceso de evaluación de personal SE911, fechado el veintiocho de marzo de dos mil doce ( fs. 43, 52, 55, 56, 83, 84, 85, 86, 125, 159, 205, 206, 224, 209 al 214, 248 al 252). 
Adicionalmente, ha quedado evidenciado con las certificaciones de las partidas de nacimiento suscritas por el Jefe del Registro del Estado Familiar de la Alcaldía Municipal de Ahuachapán, departamento del mismo nombre, que la señora Deysi Beatriz Rodriguez Godínez es hermana del señor Juan Bautista Rodríguez Godínez y, por tanto, les une un vínculo de parentesco por consanguinidad en segundo grado (fs. 140 y 141). 
Por otra parte, se ha establecido que, por memorando referencia PNC-DG/N.° 00933 de fecha ocho de febrero de dos mil doce, el señor Francisco Ramón Salinas Rivera, en ese entonces Director General de la Policía Nacional Civil, nombró al señor Juan Bautista Rodríguez Godínez para integrar la comisión que continuaría con el proceso de selección de personal que fungiría como telefonistas del Sistema de Emergencias 911, en el cual ya había concursado su hermana, la señora Deysi Beatriz Rodríguez Godínez (fs. 83 y 246).
Con el informe emitido por la señora Blanca Elizabeth Serrano de Nova, Jefa de la Sección de Evaluación y Selección de Personal del Departamento de Recursos Humanos de la Policía Nacional Civil, se acreditó que dicha comisión aplicó nuevas pruebas de selección a los aspirantes a las plazas de telefonistas, siendo responsabilidad del señor Juan Bautista Rodríguez Godínez realizarles una entrevista policial (f. 253).
En ese sentido, el señor Juan Bautista Rodríguez Godínez, en su calidad de miembro de la comisión aludida, tenía la facultad de evaluar a los aspirantes a las plazas de telefonistas, por las cuales estaba concursando su hermana.
Consta además que el señor Juan Bautista Rodríguez Godínez suscribió el citado informe ejecutivo del proceso de evaluación de personal SE911, con el cual se postuló a su hermana, la señora Deysi Beatriz Rodríguez Godínez, como apta para ser contratada en la plaza de telefonista del Sistema de Emergencias 911, luego de superar todas las pruebas de selección, incluida la entrevista policial que estaba a su cargo (fs. 209 al 214, 248 al 252). 
En definitiva, el señor Juan Bautista Rodríguez Godínez, teniendo conocimiento del vínculo de parentesco existente entre él y la señora Deysi Beatriz Rodriguez Godínez, no informó sobre el mismo ni se excusó formalmente de participar en el proceso de evaluación y selección de la señora Deysi Beatriz; tampoco se abstuvo materialmente de intervenir endicho proceso, pues incluso suscribió el informe mediante el cual la comisión evaluadora postuló a su hermana como aspirante apta para ser contratada en la plaza de telefonista.
Significa entonces que el señor Juan Bautista Rodríguez Godínez participó como evaluador en el proceso de selección en el cual concursó su hermana, y preparó el informe que la postuló para ser contratada en la plaza de telefonista, sin haber expuesto al superior jerárquico que lo nombró para tales funciones –el Director General de la Policía Nacional Civil–, el vínculo de parentesco que le une con la señora Deysi Beatriz Rodríguez Godínez y, por supuesto, sin haber presentado formalmente su excusa, por escrito, para abstenerse de intervenir en dicho procedimiento de selección.
Con tal actuación dicho servidor público influyó en la voluntad de la organización administrativa para la cual trabaja, la Policía Nacional Civil, y la orientó a contratar a su hermana basándose en la recomendación que él emitió; por lo cual sin duda alguna incumplió el deber ético regulado en el artículo 5 letra c) de la LEG, al surgir un conflicto de interés para el investigado.
El artículo 3 letra j) de la LEG, define el conflicto de interés como “Aquellas situaciones en que el interés personal del servidor público o sus parientes dentro del cuarto grado de consanguinidad y segundo de afinidad, entran en pugna con el interés público”. 
En ese sentido, participar en el proceso de evaluación, selección y postulación de un pariente en esos grados para que desempeñe un cargo gubernamental es una conducta contraria al interés público, ya que se antepone el interés particular del infractor y el de su pariente o socio.
De hecho, contratar o promover la designación de una persona del núcleo familiar o con quien se tenga una relación societaria, distorsiona el funcionamiento de la Administración Pública, ya que los servidores públicos deben desempeñar el cargo con lealtad a los fines que persigue la institución y no para con una persona determinada (contratante o promotor), como sin duda ocurre cuando les une un vínculo de los antes enunciados.
Además, al participar en el nombramiento de un pariente o de un socio, el servidor público atenta contra los principios de publicidad, equidad y eficiencia que deben regir las contrataciones públicas, pues su decisión está desprovista de toda objetividad.
Ciertamente, el respeto al interés general en el ingreso al empleo público exige la selección mediante un procedimiento transparente, en el cual se descarte cualquier indicio de nepotismo o nombramiento de parientes o socios en cargos públicos.
De manera que con el mecanismo de la excusa, se pretende proteger la imparcialidad y objetividad del servidor público, a fin de no poner en desventaja a los demás ciudadanos, quienes tienen derecho a recibir un trato igualitario, exento de valoraciones de índole subjetivas.
Por lo anterior, las personas sujetas a la aplicación de la LEG deben abstenerse de participar en cualquier proceso decisorio en el que se perfile un interés propio, de sus socios o de sus familiares hasta el cuarto grado de consanguinidad o segundo de afinidad, pues ello, por supuesto, menoscaba su decisión final, al existir una riña entre el interés particular con el interés público.
En tal sentido, para actuar con verdadera transparencia y apego a la Ética Pública, el servidor público investigado debió haber presentado su excusa al señor Francisco Ramón Salinas Rivera, Director General de la Policía Nacional Civil en esa época, desde el momento en que tuvo conocimiento que entre los aspirantes evaluados en el primer proceso se encontraba su hermana, y exponer el posible conflicto de interés que podía producirse al tener a su cargo además la elaboración y suscripción del informe ejecutivo mediante el cual la postuló como aspirante apta para ser contratada en la plaza de telefonista.
"|Sanciona|c|
Definitiva|2016|1-A-2015|28/02/2016|Imparcialidad|¿Hay conflicto de interés en la contratación de familiares para laborar para un partido político en una organización pública?|"Por ello, el nepotismo violenta el derecho humano de acceso a funciones públicas de todos aquellos que se ven privados de oportunidades para competir justamente por un cargo público.
En ese sentido, la prohibición ética regulada en el artículo 6 letra h) de la LEG se refiere a “Nombrar, contratar, promover o ascender en la entidad pública que preside o donde ejerce autoridad” a su cónyuge, conviviente, parientes y socios. Promover a sus parientes implica impulsar la contratación o favorecer las prórrogas de contratos de los mismos.
El art. 121 de la Constitución establece que “La Asamblea Legislativa es un cuerpo colegiado compuesto por Diputados, elegidos en la forma prescrita por esta Constitución”.
Los órganos colegiados son los que se conforman por una pluralidad de personas físicas que se ubican en el mismo orden jerárquico y que, de manera colectiva, concurren a formar la voluntad del órgano. 
Los Diputados, entonces, integran la Asamblea Legislativa y, por ende, ejercen autoridad en dicho órgano estatal.
El art. 147 inciso 2° del Reglamento Interior de la Asamblea Legislativa indica que: “La Junta Directiva, a propuesta de cada uno de los coordinadores de los grupos parlamentarios, nombrará al personal de apoyo, de acuerdo con la proporcionalidad de cada uno de estos grupos”. 
De esta manera, la prueba producida ha establecido que las prórrogas del contrato de la señora Guzmán Rodríguez para los años dos mil catorce y dos mil quince fueron efectuadas a solicitud del señor Carlos Walter Guzmán Coto, en ese entonces Coordinador de GANA.
Aunado a lo anterior, entre los señores Jennifer Jeaneth Guzmán Rodríguez y Carlos Walter Guzmán Coto existe un vínculo de parentesco de tercer grado de consanguinidad.
En consecuencia, al hacer una valoración integral de los elementos de prueba recabados en este procedimiento, se concluye que el señor Guzmán Coto, en su calidad de Coordinador del grupo parlamentario GANA, promovió a su sobrina Jennifer Jeaneth Guzmán Rodríguez en las prórrogas de su contrato para el período comprendido entre enero de dos mil catorce y mayo de dos mil quince en la Asamblea Legislativa, infringiendo así la prohibición ética de “Nombrar, contratar, promover o ascender en la entidad pública que preside o donde ejerce autoridad, a su cónyuge, conviviente, parientes dentro del cuarto grado de consanguinidad o segundo de afinidad o socio, excepto los casos permitidos por la ley”, regulada en el artículo 6 letra h) de la LEG.
Tal conducta resulta antagónica al desempeño ético de la función pública, ya que se antepone el interés particular del infractor al beneficio de la colectividad, por lo que deberá determinarse la responsabilidad correspondiente.
"|Sanciona||h
Anormal|2016|14-A-15|29/02/2016|Imparcialidad|¿Un funcionario que incurre en deficiencias en el proceso de compra de equipo de una institución pública comete una infracción ética?|"...se advierte que en el año dos mil trece el señor José Luis Escobar Martínez habría incurrido en “deficiencias” en el proceso de compra por libre gestión de equipo informático, por lo cual el informante considera que éste se valió de su cargo ya que desde el inicio excluyó a la comisión evaluadora de ofertas. 

Ahora bien, los hechos antes referidos reflejan la posible vulneración de la Ley de Adquisiciones y Contrataciones de la Administración Pública por parte del señor Escobar Martínez, lo cual compete a otras entidades.
"|Improcedente||
Anormal|2016|123-D-15|02/03/2016|Materia de empleo público|¿El incumplimiento de la medida cauteler en un amparo laboral constituye una conducta tipificada por la LEG?|"...el veintitrés de diciembre de dos mil catorce, el señor Jorge Pérez Quezada lo despidió sin justa causa del cargo de Jefe de la Unidad de Seguridad, pero que inició un proceso de amparo en la Sala de lo Constitucional de la Corte Suprema de Justicia, identificado con referencia 6-2005, en el cual se ordenó como medida cautelar la restitución en el cargo y el pago de salarios y demás prestaciones laborales durante el tiempo que dure el proceso. 

No obstante lo anterior, indica que en enero de dos mil quince, dicho servidor público nombró a la señora Delma Dinora Zavaleta en el cargo que desempeñaba sin respetar los manuales de Descripción de Puestos y Funciones del INDES, de Selección Técnica y la Normas Técnicas de Control Interno, y que la referida señora para justificar su nombramiento presentó un título de bachiller, el cual según informe del Ministerio de Educación es falso.

En ese sentido, la vía procesal idónea ante el incumplimiento de una medida cautelar decretada en el proceso de amparo por la Sala de lo Constitucional de la Corte Suprema de Justicia, conforme a los artículos 36 y 37 de la Ley de Procedimientos Constitucionales, que regula las acciones a seguir en tales supuestos, es competencia de dicha Sala, ya que dicha normativa, faculta iniciar la respectiva acción, sobre la base del art. 172 de la Constitución, que norma que corresponde exclusivamente al Órgano Judicial, la potestad de juzgar y hacer ejecutar lo juzgado en materia constitucional, entre otras.

Por otro lado, el conocimiento de las irregularidades en la contratación de la señora Delma Dinora Zavaleta, corresponde a la Corte de Cuentas de la República, tal y como lo prevén los arts. 3, 4, 5 número 1 y 54 de la normativa que rige dicho ente controlador, por lo cual deberá informarse sobre dicha denuncia. 

Por último, con respecto a la utilización de un título de bachiller en apariencia falso, por parte de la señora Delma Dinora Zavaleta, se advierte que el conocimiento de dichos hechos corresponde de manera exclusiva a la Fiscalía General de la República, sobre la base de lo regulado en el artículo 193 número 4 de la Constitución, por lo cual este Tribunal deberá comunicarle a dicha institución esa situación, para los efectos legales pertinentes."|Improcedente||
Anormal|2016|94-D-15|03/03/2016|Ejecución de procesos|¿Hubo retraso injustificado en la extensión de una constancia?|"...el señor González Ramón señala que el trámite para la extensión de constancias de Alta y Baja que extiende ese Ministerio, se realiza por el Departamento de Personal a solicitud del interesado en la unidad militar en la que prestó su servicio militar, y de encontrarse registrada la información se extiende la constancia o bien se solicita al peticionario aporte mayores datos, por lo que dicho trámite puede realizarse en un plazo que puede oscilar entre cinco hasta sesenta días hábiles.

 Asimismo, por medio de la documentación remitida se verifica que el trámite solicitado por el señor Juan Ernesto Bustillo Mejicano, estuvo a cargo de los señores Jorge Alberto Barrientos, Jefe de la Sección 1 “Personal” del Destacamento Militar N.°3 de La Unión y el soldado Juan Carlos Hernández Mejía; y la constancia objeto de la presente denuncia fue extendida con fecha diez de diciembre de dos mil quince por el señor Néstor Mario Marroquín Arévalo, Comandante Departamental de La Unión y de dicho Destacamento Militar.

En ese sentido, con la información obtenida durante la investigación preliminar, se ha desvirtuado la posible conculcación a la prohibición ética de “Retardar sin motivo legal la prestación de los servicios, trámites o procedimientos administrativos que le corresponden según sus funciones”, establecida en el artículo 6 letra i) de la LEG, por parte del señor Jorge Alberto Barrientos, Jefe de la Sección 1 “Personal” del Destacamento Militar N.°3 del departamento de La Unión, pues consta que el trámite solicitado por el señor Juan Ernesto Bustillo Mejicano fue concluido por medio de la extensión de la constancia requerida el diez de diciembre de dos mil quince por el Comandante Departamental de La Unión, de manera que es inviable continuar con el trámite de ley correspondiente.
"|Sin lugar a la apertura del procedimiento||
Anormal|2016|168-A-15|04/03/2016|Materia de empleo público|¿El acoso laboral en las oficinas públicas son objeto del proceso sancionatorio de la LEG?|"...este Tribunal advierte que la conducta atribuida al señor Jaime Armando Pacheco Merino no revela indicios de una transgresión a los deberes y prohibiciones éticos regulados en la LEG, pues se trata de un acoso sexual y laboral en perjuicio de sus compañeros de trabajo, de la inadecuada administración de un contrato y de la recolección de dinero para la celebración navideña, por consiguiente, no están sujetos al conocimiento de este Tribunal.

En ese sentido, los hechos informados se encuentran fuera de la competencia objetiva de este Tribunal, impidiéndole continuar con el trámite de ley correspondiente."|Improcedente||
Anormal|2016|9-O-15|04/03/2016|Presupuesto público|¿Es aplicable la LEG a personas que no ostentan el cargo de funcionario público?|"En el caso particular, el artículo 3 letra b) de la LEG define al funcionario público como la persona natural que presta temporal o permanentemente servicios dentro de la administración pública, con facultad para tomar decisiones dentro de las atribuciones de su cargo.

Al respecto, se repara que el señor Rodolfo de Jesús Villalobos Aguirre ejerce en la Corporación Salvadoreña de Inversiones (CORSAIN) el cargo de Colaborador Contable en la Gerencia de Finanzas de esa institución, por tanto, no tiene la calidad de funcionario público y, consecuentemente, no le sería aplicable a dicho señor la incompatibilidad regulada en el artículo 79 de la Ley Orgánica de CORSAIN, que veda exclusivamente al Presidente, Vicepresidente y funcionarios de esa Corporación el desempeño de otro empleo público remunerado. 

Adicionalmente, cabe mencionar que según el artículo 58 del Código Municipal y 12 inciso final de la Ley de Asuetos, Vacaciones y Licencias de los Empleados Públicos el cargo de miembro de concejo municipal es compatible con el desempeño de otros cargos públicos, como el que ejerce el señor Villalobos Aguirre en CORSAIN.

Por tanto, no subsisten los indicios de una posible transgresión a las prohibiciones éticas de “Percibir más de una remuneración proveniente del presupuesto del Estado, cuando las labores deban ejercerse en el mismo horario, excepto las que expresamente permita el ordenamiento jurídico” y “Desempeñar simultáneamente dos o más cargos o empleos en el sector público que fueren incompatibles entre sí por prohibición expresa de la normativa aplicable, por coincidir en las horas de trabajo o porque vaya en contra de los intereses institucionales”, reguladas en el artículo 6 letras c) y d) de la LEG, y resultaría infructuoso continuar con el trámite de ley respectivo por no encontrarse ya justificado el ejercicio de la potestad sancionadora de éste Tribunal. 
"|Sobreseimiento||
Definitiva|2016|feb-15|04/03/2016|Presupuesto público|¿Es una infracción ética alargar un permiso para salir del país sin autorización previa?|"En el presente caso, con las diligencias de investigación realizadas se verificó que en el año dos mil catorce la señora Cecilia Inés Bonilla de Martel fungió como servidora pública del Ministerio de Educación y en el cargo de maestra del Centro Escolar David J. Guzmán, Chirilagüa, San Miguel, con horario de siete a doce del mediodía y de las doce horas treinta minutos hasta las seis de la tarde (fs. 42 al 46).
En dicho Centro Educativo el cumplimiento de la jornada laboral de los empleados se verifica mediante un libro denominado “control de asistencia del personal docente”, en el cual consta que en los períodos del veintidós al veinticinco de abril y del siete al trece de agosto de dos mil catorce, la señora Bonilla de Martel asistió normalmente al trabajo, en ambos turnos, cumpliendo su jornada ordinaria de trabajo (fs. 6 al 14).
Adicionalmente, con el informe de la Dirección General de Migración y Extranjería, se constata que la señora Bonilla de Martel en los períodos antes referidos, no viajó fuera del país, como lo afirmaba el informante en el aviso interpuesto en su contra.
Por último, el instructor designado por el Tribunal entrevistó a los superiores jerárquicos de la investigada quienes manifestaron que ella se presentó en esa fecha a realizar sus labores en ambos turnos.
En ese sentido, es dable afirmar que en los períodos del veintidós al veinticinco de abril y del siete al trece de agosto de dos mil catorce, la señora Bonilla de Martel no se ausentó de sus labores sin autorización para realizar actividades privadas.
En consecuencia, la investigada no transgredió la prohibición ética regulada en el artículo 6 letra e) de la LEG.
"|No sanciona||e
Anormal|2016|150-A-15|09/03/2016|Materia de empleo público|¿Es competencia del Tribunal de Ética Gubernamental arrogarse la potestad disciplinaria de cada una de las instituciones públicas?|"...este Tribunal advierte que la conducta indecorosa atribuida al señor Salvador Antonio Villeda Reyes no aporta indicios de posibles infracciones a los deberes o prohibiciones éticos regulados en los artículos 5 y 6 de la LEG, pues a pesar que podría catalogarse como incorrecta o reprochable se encuentra fuera de la competencia objetiva de este Tribunal.

Efectivamente, tal como consta en la documentación agregada al expediente, dicha conducta debe ser fiscalizada conforme al derecho disciplinario del Ministerio de Salud.
 
Por tanto, si bien la LEG persigue la promoción del desempeño ético en la función pública, ésta no pretende arrogarse la potestad disciplinaria interna que compete a cada una de las instituciones estatales."|Improcedente||
